Company,Product,TypeName,Inches,ScreenResolution,CPU_Frequency (GHz),RAM (GB),Memory,OpSys,Weight (kg),Price,CPU,GPU,Memory_Type,GPU_Type,Memory_Type_Score,GPU_Type_Score,Price_Range
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,2.3,8,128GB SSD,macOS,1.37,1339,Intel Core i5,Intel Iris Plus Graphics 640,SSD,Integrated,3.0,1,Mid Budget
Apple,Macbook Air,Ultrabook,13.3,1440x900,1.8,8,128GB Flash Storage,macOS,1.34,898,Intel Core i5,Intel HD Graphics 6000,Flash Storage,Integrated,2.0,1,Mid Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,No OS,1.86,575,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,2.7,16,512GB SSD,macOS,1.83,2537,Intel Core i7,AMD Radeon Pro 455,SSD,Integrated,3.0,1,High Budget
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,3.1,8,256GB SSD,macOS,1.37,1803,Intel Core i5,Intel Iris Plus Graphics 650,SSD,Integrated,3.0,1,High Budget
Acer,Aspire 3,Notebook,15.6,1366x768,3.0,4,500GB HDD,Windows 10,2.1,400,AMD A9-Series 9420,AMD Radeon R5,HDD,Integrated,1.0,1,Low Budget
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,2.2,16,256GB Flash Storage,Mac OS X,2.04,2139,Intel Core i7,Intel Iris Pro Graphics,Flash Storage,Integrated,2.0,1,High Budget
Apple,Macbook Air,Ultrabook,13.3,1440x900,1.8,8,256GB Flash Storage,macOS,1.34,1158,Intel Core i5,Intel HD Graphics 6000,Flash Storage,Integrated,2.0,1,Mid Budget
Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,1.8,16,512GB SSD,Windows 10,1.3,1495,Intel Core i7 8550U,Nvidia GeForce MX150,SSD,Integrated,3.0,1,Mid Budget
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.6,770,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,250 G6,Notebook,15.6,1366x768,2.5,4,500GB HDD,No OS,1.86,393,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.0,4,500GB HDD,No OS,1.86,344,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,2.8,16,256GB SSD,macOS,1.83,2439,Intel Core i7,AMD Radeon Pro 555,SSD,Integrated,3.0,1,High Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.0,4,256GB SSD,Windows 10,2.2,498,Intel Core i3 6006U,AMD Radeon R5 M430,SSD,Integrated,3.0,1,Low Budget
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,1.2,8,256GB SSD,macOS,0.92,1262,Intel Core M m3,Intel HD Graphics 615,SSD,Integrated,3.0,1,Mid Budget
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,2.3,8,256GB SSD,macOS,1.37,1518,Intel Core i5,Intel Iris Plus Graphics 640,SSD,Integrated,3.0,1,High Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,2.2,745,Intel Core i7 7500U,AMD Radeon R5 M430,SSD,Integrated,3.0,1,Mid Budget
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,2.9,16,512GB SSD,macOS,1.83,2858,Intel Core i7,AMD Radeon Pro 560,SSD,Integrated,3.0,1,High Budget
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,2.4,8,1TB HDD,No OS,2.2,499,Intel Core i3 7100U,Nvidia GeForce 940MX,HDD,Integrated,1.0,1,Low Budget
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1.6,8,128GB SSD,Windows 10,1.22,979,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Asus,Vivobook E200HA,Netbook,11.6,1366x768,1.44,2,32GB Flash Storage,Windows 10,0.98,191,Intel Atom x5-Z8350,Intel HD Graphics 400,Flash Storage,Integrated,2.0,1,Low Budget
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,Windows 10,2.5,999,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
HP,255 G6,Notebook,15.6,1366x768,1.5,4,500GB HDD,No OS,1.86,258,AMD E-Series E2-9000e,AMD Radeon R2,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1.6,8,256GB SSD,Windows 10,1.62,819,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.91,659,Intel Core i7 8550U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,1366x768,2.0,4,1TB HDD,Windows 10,2.3,418,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Apple,MacBook Air,Ultrabook,13.3,1440x900,1.6,8,128GB Flash Storage,Mac OS X,1.35,1099,Intel Core i5,Intel HD Graphics 6000,Flash Storage,Integrated,2.0,1,Mid Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,2.2,800,Intel Core i5 8250U,AMD Radeon 530,SSD,Integrated,3.0,1,Mid Budget
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,1.9,8,256GB SSD +  256GB SSD,Windows 10,1.88,1298,Intel Core i7 8650U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,1.6,8,1TB HDD,Windows 10,2.5,896,Intel Core i5 8250U,Nvidia GeForce 930MX,HDD,Integrated,1.0,1,Mid Budget
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,1.44,4,64GB Flash Storage,Windows 10,1.89,244,Intel Atom x5-Z8300,Intel HD Graphics,Flash Storage,Integrated,2.0,1,Low Budget
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,1.5,2,32GB Flash Storage,Windows 10,1.65,199,AMD E-Series E2-6110,AMD Radeon R2,Flash Storage,Integrated,2.0,1,Low Budget
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,2.5,4,500GB HDD,Windows 10,2.71,439,AMD A6-Series 9220,AMD Radeon 530,HDD,Integrated,1.0,1,Low Budget
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,1.8,16,512GB SSD,Windows 10,1.2,1869,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Apple,MacBook Air,Ultrabook,13.3,1440x900,1.6,8,256GB Flash Storage,Mac OS X,1.35,998,Intel Core i5,Intel HD Graphics 6000,Flash Storage,Integrated,2.0,1,Mid Budget
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,1.1,4,64GB Flash Storage,Windows 10,1.44,249,Intel Celeron Dual Core N3350,Intel HD Graphics 500,Flash Storage,Integrated,2.0,1,Low Budget
Acer,Aspire 3,Notebook,15.6,1366x768,2.7,4,1TB HDD,Linux,2.1,367,Intel Core i3 7130U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,2.8,979,Intel Core i5 8250U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
HP,250 G6,Notebook,15.6,1366x768,2.5,4,1TB HDD,Windows 10,1.86,488,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,2.1,879,Intel Core i5 8250U,Nvidia GeForce 930MX,SSD,Integrated,3.0,1,Mid Budget
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,2.0,4,1TB HDD,Linux,2.0,389,Intel Core i3 6006U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.65,1499,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,High Budget
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,2.5,8,1TB HDD,Linux,2.3,522,Intel Core i5 7200U,Nvidia GeForce 940MX,HDD,Integrated,1.0,1,Low Budget
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,1.6,4,256GB SSD,Windows 10,2.2,682,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,1.6,12,1TB HDD,Windows 10,2.77,999,Intel Core i5 8250U,Nvidia GeForce 150MX,HDD,Integrated,1.0,1,Mid Budget
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,2.0,8,256GB SSD,macOS,1.37,1419,Intel Core i5,Intel Iris Graphics 540,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,2.0,4,128GB SSD,No OS,2.2,369,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,3.0,8,256GB SSD +  1TB HDD,Windows 10,3.2,1299,AMD Ryzen 1700,AMD Radeon RX 580,Hybrid,Discrete,2.5,2,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.5,4,256GB SSD,Windows 10,2.3,639,Intel Core i5 7200U,AMD Radeon R5 M430,SSD,Integrated,3.0,1,Mid Budget
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,1.1,4,1TB HDD,Windows 10,2.8,466,Intel Pentium Quad Core N4200,Nvidia GeForce 920MX,HDD,Integrated,1.0,1,Low Budget
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,1.44,4,64GB Flash Storage,Android,0.69,319,Intel Atom x5-Z8550,Intel HD Graphics 400,Flash Storage,Integrated,2.0,1,Low Budget
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,2.2,841,Intel Core i7 8550U,Nvidia GeForce MX150,SSD,Integrated,3.0,1,Mid Budget
HP,255 G6,Notebook,15.6,Full HD 1920x1080,2.5,4,256GB SSD,Windows 10,1.86,398,AMD A6-Series 9220,AMD Radeon R4 Graphics,SSD,Integrated,3.0,1,Low Budget
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,1.8,8,512GB SSD,Windows 10,1.49,1103,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,Aspire 3,Notebook,15.6,1366x768,2.4,4,1TB HDD,Windows 10,2.4,384,Intel Core i3 7100U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
